Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
2081,1,3,1972,4.113587220347149,0,8,464303.4231219651
553,1,3,2017,4.661933758982296,0,10,205937.04551773702
3005,3,2,2007,1.521593714990804,0,7,659063.5090965753
637,3,3,1980,3.5181310723429515,0,2,185471.5172790924
1806,3,3,2001,4.508668163127133,1,2,476900.103821367
2074,5,2,2006,3.4750095851497687,1,1,528339.8491517691
1624,3,1,2020,4.566796410587866,0,3,415403.74011150753
941,3,3,1987,1.7505247902833738,0,10,215047.32633011925
1275,5,3,2006,2.191122571307388,1,4,354189.0054772034
4056,3,3,1992,2.7975280793420216,1,4,883819.0911218557
2327,4,1,1971,2.828218814816203,1,9,503662.0435322482
1443,2,1,1963,2.928221307559966,2,6,322437.8859354002
3314,5,1,2011,4.301880473703347,1,7,779336.1178319983
4388,4,2,2019,3.8170583276602854,1,8,996377.5527365112
3169,4,1,1952,3.2714380904217792,2,7,679072.1310557887
1484,1,1,1952,1.5775466633847588,2,1,280072.6332034056
4658,5,1,1975,1.1204837121020468,2,3,951484.5473650974
2609,5,1,1977,3.746149536655844,0,1,570198.4181888832
3691,5,2,1953,1.0052582262758347,1,1,756964.4648349065
4951,3,1,1982,1.073685560631108,2,3,1017583.4273609958
750,1,3,2022,1.4093710823309176,1,5,211858.30379826482
3961,4,3,1994,3.6526946492667265,0,9,889166.4004269346
2881,4,2,1955,1.5840942630382318,0,1,583803.8305795628
2470,2,3,1974,4.014137103737407,0,4,543160.4942000011
999,5,1,2014,2.7561737055673388,1,1,305736.16070725373
4751,2,2,1975,1.944739784209934,0,3,961767.7308088028
1325,4,2,2013,3.5878810085850046,2,4,369053.38742454845
2561,5,3,1995,0.9944688638084048,0,3,589821.5842338745
4427,2,3,1979,1.8785763868333747,0,1,920981.2883055494
891,2,2,2002,1.4325903489599523,1,9,209632.84147750464
1654,5,1,2016,2.4304779978807405,1,6,432995.7312318809
1677,4,3,1965,4.369724360300683,1,5,434685.4355511281
4275,5,3,1954,2.104589746772927,1,9,897523.2089985616
1869,5,1,2020,4.722861847361648,1,1,510876.9990932239
775,1,1,2001,3.830238485041032,2,10,198336.35309969587
4741,5,2,1970,1.9579738817921244,2,8,1005247.8061448577
4382,1,1,1975,2.7648617193375706,0,10,873759.2820153486
895,5,3,1987,1.6574615543823281,1,10,244950.61619257496
4615,4,2,2000,1.7211468359255475,1,4,993273.0796606252
3935,2,1,1955,4.474707562457981,0,2,824667.6665249382
1429,4,1,1964,2.55473048645074,1,8,328077.60032051173
702,5,3,1971,0.5257336161235517,1,5,183663.6464573192
2399,2,1,1972,1.045520912031033,2,8,473056.1074740175
2016,1,1,2021,2.6074858367021605,0,3,450594.5679766036
2777,4,2,1989,4.73693884069085,0,4,651626.2175134385
1962,4,3,2001,0.5600212017553068,1,3,436849.13823842444
1344,1,3,2005,1.3619483466700975,0,4,299222.4863292157
3375,5,3,1987,4.51621607001489,0,7,777843.7449155546
3906,1,2,1976,1.4231038139875725,1,4,772894.8581297912
2541,5,3,2012,4.18382348511477,0,5,672295.9005701186
4233,4,3,1995,0.5390562125194739,0,10,888795.0362120718
4518,4,2,1971,1.377540411973771,2,2,926094.1390762049
2648,3,2,1996,4.748299921686784,1,4,622346.153360182
2940,3,3,2011,4.739554911908768,2,2,714856.9161305963
975,2,2,1971,1.6101743327376283,1,9,203722.09146301606
4744,4,3,2004,3.0371860628043823,1,2,1060265.9684037096
1355,2,1,1950,1.8736994210552,1,5,269100.0139080985
3863,2,2,2019,3.9265223936333578,0,10,886841.4132903059
2550,5,1,2000,3.5931937582754214,1,3,603140.3219857904
2825,2,3,1996,4.227273703257113,0,6,632072.8537554175
1993,2,2,1985,0.8157287129494569,2,8,418974.5827458653
689,2,2,2007,3.126831013734,2,2,215142.90121379824
4993,2,3,1984,4.2056436919469595,0,6,1066547.1517030203
4061,2,2,2003,2.156174596026075,0,4,875591.2537181997
2080,4,2,1987,0.5916971618610424,1,9,454059.19466295076
4597,2,2,1953,4.016500717479974,0,2,935155.4376458043
1146,4,1,1990,2.29631344245001,1,6,309491.16376405815
1664,4,1,2003,4.361829846275935,2,9,433148.2106481681
3596,3,1,1986,4.501749689751198,1,1,794441.4967067178
2829,4,2,1953,2.7671904442431856,0,8,601404.0976066929
4014,1,1,1969,4.14649628409126,2,3,827595.6603599334
2648,4,3,1999,2.251669038084959,1,8,610554.893495075
1757,3,3,1973,4.114364313694551,2,4,433726.28210106574
3476,2,1,2009,0.7926768470781649,1,2,721102.0529101558
2299,3,1,1991,2.88567644129561,0,2,508937.3136879666
1508,2,3,1950,3.321373589627465,2,4,328497.9551409922
4407,5,2,1955,4.466956268932055,2,8,957925.4756988784
652,2,2,1994,4.0312149378399145,0,8,194309.39135305313
2459,2,3,1975,0.649840026043274,0,8,490826.951546161
1057,3,1,2000,3.8176091976374487,1,8,277530.3496648538
4350,2,1,1968,0.6350959946708234,1,5,877752.3422257571
2961,4,1,2008,0.9677199316501665,0,9,657717.4886795172
2455,3,2,1953,4.951479892809876,0,10,527393.5128875901
3063,2,2,1956,4.360797909117757,2,3,647832.2075906589
1385,1,1,1995,4.43220681809003,2,2,349389.8044990501
3914,2,2,2020,1.6529761947451553,2,2,833384.133994433
2554,5,3,1998,4.695181930593676,2,4,634419.7129674953
536,1,3,2021,2.242665681144953,2,7,181541.46294166686
1320,2,3,2003,4.572562756404989,0,4,361378.4150928577
665,2,1,2018,2.9848804311602195,0,2,215577.549926356
3637,5,3,1997,3.828955044877872,1,10,836389.7857367253
4314,5,3,2008,3.6985928486032327,1,1,975885.6903799674
3845,3,1,2014,4.989302700131234,2,7,888020.5575222683
3488,2,1,1958,1.7158750677364738,1,4,689111.7607280839
2511,4,1,1992,2.4110832131251474,0,2,556893.2338039746
4919,2,2,1959,3.5364237517243127,2,9,1012988.1672446991
4994,5,1,1956,0.7990543668071031,1,8,1006779.9274536441
3636,2,1,2001,1.402988525097991,0,3,765795.1528374089
4199,1,1,1953,3.4769356271711636,0,6,838495.1022657594
3927,1,3,2010,3.0881989810757,0,3,847530.1560764065
1080,4,3,1977,2.3124912495480494,2,3,270230.63769827964
4209,4,2,1998,3.6604153327358735,2,10,942835.579290407
4616,1,1,1958,2.2700769195364816,2,9,904031.4280284522
1391,4,2,1985,1.2431304413737547,0,4,312668.7718576917
4150,4,3,1955,1.994481551920084,0,1,844866.8797014942
4664,5,3,1979,3.003476032656857,2,3,1010183.5001098072
2968,1,1,1997,1.7894566297330823,1,9,604984.3394477306
4685,3,3,2001,1.860660651991722,2,1,1024388.8484393155
1567,4,3,1985,3.35533529482811,1,5,396921.86344822607
4218,5,1,1997,0.8192194331374376,1,6,903731.4260462124
2487,4,2,1999,1.01446585520541,2,7,519858.6770651062
1004,1,2,1950,2.861591061739686,0,6,206736.37883712025
1135,5,2,1990,3.943221479675449,1,5,329218.5249164853
1062,5,3,2013,3.6044690487575473,2,5,357016.873221904
2863,1,3,1957,3.4149840482765392,0,4,582468.7977365239
3926,4,1,2009,3.5773687625397494,1,6,876276.504119021
1890,3,2,1961,0.7888633516556665,2,3,378517.2050913944
970,4,2,1981,2.3488569132822343,1,1,258717.68020973945
1350,5,3,1965,3.4311719858595464,1,7,341512.6807240752
1801,2,2,2012,0.6502131650057663,2,1,424854.9107532508
4463,5,2,2007,3.6278237837053218,2,7,993100.0680993554
3323,4,2,1983,0.6402305894022648,0,10,693320.3089658035
1407,5,1,2004,2.8520962954098925,1,1,361431.7539853022
2140,5,2,1999,4.89497286744564,0,3,546984.4941120291
2562,4,3,2007,1.928600346346499,0,2,582048.4182306927
4223,4,2,1989,4.753028879993012,0,8,965807.6170867837
3467,4,2,2015,1.113004733746842,0,10,753503.6906089815
1639,2,2,2008,2.281827149364222,1,9,395042.3550597105
1145,4,1,1964,1.6841761682104814,2,2,257678.014714694
1725,2,3,1962,4.881107109922457,1,4,401949.0163102272
2490,5,1,1950,4.16874348990752,1,10,567376.4006946473
2431,2,1,1959,3.0908251962170628,1,7,497068.77003477525
3873,5,1,1986,2.2801195036224353,0,1,828223.7299183059
3810,2,1,1981,4.245877325346138,2,5,821117.7482116626
3936,3,1,2002,0.7993742369488486,0,8,815811.6827370644
4590,1,3,1958,2.768016936183467,0,2,918893.7439235622
2449,1,3,1970,2.739371953269613,0,3,529475.5231756673
4758,3,1,1995,3.944319976643995,2,8,1035609.2116313002
3907,5,1,2001,1.1998113980391003,2,7,840434.480496101
2129,5,1,1963,0.7125871643269375,0,1,436299.2571092552
1973,3,3,2020,4.593031970574073,2,8,526849.52439813
2193,4,1,1996,4.731886432853361,0,6,530004.3428420601
3871,3,3,1987,4.140434303020348,0,10,856852.0828814579
534,2,3,1952,4.353170759449737,0,5,136730.0598475086
2601,2,2,1989,2.920242700275863,0,7,568141.1774818803
1984,5,1,1957,4.376811682521021,0,2,472657.61431723344
2310,5,2,2016,0.6763857595508437,1,8,540687.0721265974
1985,4,2,1958,2.218007473294345,2,4,419960.5386911025
4297,3,2,1957,3.2651859988023406,2,2,910000.3859570916
4743,1,1,2012,1.7482437597307687,0,5,985132.8544713914
3767,5,3,1981,1.5203353298312503,2,4,824529.5721138918
2446,3,2,1952,4.5514046349078505,0,8,531777.9379407439
1459,2,1,1971,3.867239184787655,2,8,335130.1664682776
2190,2,2,1983,1.1268913246945098,2,1,464035.4028470787
4545,4,1,1981,4.47850379255188,0,4,981508.7821094306
3729,5,3,1954,2.336563103935717,0,5,794498.1462654329
4007,2,3,1989,4.659144235714022,0,2,897176.5668201512
3411,5,2,2018,2.330610253854714,0,2,777916.9053819525
2269,5,3,2017,4.34401087626817,2,8,602234.5979561643
787,5,1,1951,2.536283014066767,2,4,187445.7870367064
638,4,1,2004,2.700476963054432,0,7,207386.96774761903
1369,5,1,1990,0.9659029423327467,1,1,309201.6124130105
4908,5,3,1957,3.43640734223434,1,1,1069123.5708251237
617,1,1,1982,2.3472310732724955,0,5,147206.86576297088
4390,4,1,2007,1.539333519352811,2,3,934227.3163996261
1868,4,1,2011,1.3441898829711847,1,9,436363.7462339829
4457,5,2,1978,1.9824155899819125,0,3,923754.8763318271
3655,5,3,1955,4.466827657911333,1,1,815186.7930315515
4742,1,1,1977,0.8358729398574296,2,10,931856.9695152728
2432,1,3,1995,0.8719477780541949,2,10,528708.0988701265
1827,5,2,2002,4.628934867184862,2,8,489823.2520539709
4567,3,1,1995,3.654180363422444,0,10,983336.3301190595
2148,1,1,1964,3.8057991819450487,0,6,437571.99932197016
643,3,2,1974,0.5875215912141407,1,5,142132.412525807
2074,2,3,2010,1.4191104151047536,2,8,473734.215407891
4088,3,3,1997,3.706976463411664,1,10,899988.4853764949
4943,5,2,1985,4.7152110183417415,2,8,1111130.836236789
4320,3,1,1972,4.612991792178719,1,3,911046.5742823248
4457,1,1,1990,4.738115118204396,1,7,931822.3490903239
1152,3,3,1951,2.956968619401956,1,5,257995.07106549884
2876,3,2,2012,2.159258023741069,1,9,643446.5723999185
4488,4,3,2008,1.4420665218553324,1,7,972987.9816880198
3677,2,3,2021,3.629437346607124,1,6,836977.9588076571
4636,4,3,1965,4.306693035466621,2,9,1020664.6481123037
2886,5,1,1957,2.9345130451744814,2,5,619360.9693678387
3321,4,2,2020,4.057165719101468,1,8,777395.5782312086
3755,5,3,2009,0.9591345258867066,2,6,834297.3805447312
4248,3,3,1964,1.4775389890385486,2,6,883626.6203857235
1167,2,1,1954,4.106538625208213,1,8,258084.44611294812
903,1,2,2020,1.3001145714953657,0,1,210503.99784671143
1399,5,1,2010,1.2832300011426563,0,9,335096.3662056599
4642,1,1,2002,3.529009860394794,0,3,972341.3371620335
4659,4,1,2019,4.6546397961827655,1,4,1051971.384755102
3419,2,1,1997,3.8744440456908182,2,3,754591.5186223906
2018,4,1,1959,3.43165445098355,0,7,439731.2703859472
2722,1,3,1956,4.723228212488469,1,2,584313.1976449179
1838,1,1,1999,1.3615038126917227,2,9,380677.8486541724
1562,2,3,1967,1.391429825241303,1,10,355453.1829292205
3135,3,1,1972,3.7156256204470703,0,2,655633.5377567469
3428,3,1,1959,0.7243222758576875,2,1,692122.5158561887
1848,5,1,2011,1.5873707663481997,0,3,436493.2873007541
1220,4,2,2014,3.1741070240768208,1,10,352269.5137766258
956,4,1,2019,4.7580480520003725,1,5,288720.0320235895
4069,3,3,1982,4.779509055840573,2,10,898168.1052387378
3872,1,3,1972,1.22814723047231,2,10,794190.2350091785
4806,1,1,1963,3.8343016177806666,2,6,972809.5683488679
3587,1,1,1985,2.8568793961333854,2,3,761928.4039757224
3835,5,2,1984,3.878736636588505,0,1,841867.7132362563
1108,5,1,1984,1.9048836569792165,2,7,285546.501684919
2501,1,1,1968,2.8070134392920094,0,3,496251.9556193705
703,5,2,1962,0.7528772152996561,1,5,175535.36579582523
2458,2,1,1962,3.9085900045282296,1,10,523387.09594019287
2692,3,2,1981,1.9348419677669413,0,9,560496.8854433617
3917,1,1,1988,0.8675027413704332,2,7,780363.0627911759
1812,3,3,1993,1.7497358930787972,1,2,415639.6454079276
3848,3,2,2003,1.553355766410258,1,5,833093.9522488945
4109,1,1,1964,2.836621569131989,2,7,819692.1240692773
2384,4,2,2014,3.952330764796133,0,4,571921.8936818792
1409,1,1,2013,0.6019939448105449,2,7,305279.0524090323
2852,2,2,1954,2.0436069775162564,0,5,582420.2939304721
2027,5,3,2002,4.467270379450989,0,10,539478.4031506823
4822,5,2,1956,1.983558081785562,0,10,1006377.0511003751
2338,1,2,1951,2.1979749843599867,0,7,451555.99092208163
3773,5,1,1993,0.8548500307008629,0,4,803602.6582436218
3720,5,3,1960,1.5357858525310744,0,10,772703.1787279728
4270,2,2,1997,0.8629589945279151,2,7,891975.0798498056
1650,4,1,1960,2.5302811079300755,0,4,365983.8000215448
2219,2,1,1958,0.7984652510213042,0,6,434650.94016884366
2004,1,3,1967,1.8718753585013856,2,5,425546.9096324785
974,2,2,1986,2.336535755716654,2,1,234261.64997473892
1388,4,3,2008,4.23163621184206,2,9,402536.5331507191
2485,2,1,1981,4.9717166371681065,0,7,560921.9665437368
2761,4,3,2000,4.585217652181784,2,4,655727.189323578
1782,4,3,2013,4.471782238481785,1,5,482146.1158346602
3842,2,3,2006,3.172443014143495,2,1,847354.4830830611
3231,1,3,1957,2.179872399577147,2,6,672259.1531741091
3075,3,1,1988,3.142362652102027,2,4,675926.2381756204
1861,5,2,2013,2.4123756798459204,0,3,447200.64053468464
955,1,1,1971,2.8072106671684782,2,10,222840.89600960258
1811,5,1,1987,2.1428819487809156,2,3,424575.2746948452
3917,2,2,1952,0.6010113522280203,0,7,756981.0096281844
3515,4,3,1959,1.4850777316609245,0,10,740538.1698036857
2605,2,3,1961,4.3767438028431,2,3,594694.0136604229
4174,1,3,1986,0.7719380471868698,0,2,851764.2322294917
2972,2,1,2018,0.7357608301768754,1,2,629290.1434469345
3842,3,3,2009,1.4283420676014318,2,9,842070.2883840796
2573,4,3,1987,2.938534255043993,0,2,581392.7169730073
3519,5,3,1966,4.009947471097449,0,10,788284.6902015205
1203,4,1,1991,1.0546085128078029,1,6,283865.81536432786
2151,2,1,1951,0.999192844689304,0,2,407044.5193328138
2895,2,3,1957,1.2363669901219443,1,2,590010.3552648431
2400,2,3,2021,0.7991906135669239,2,7,558282.0689679562
3749,2,3,1961,1.663386625704754,0,7,768701.9673985331
3060,4,2,2014,1.273295139008865,0,10,672100.2261687058
2577,3,2,1998,3.119431695271438,2,5,574005.0192279383
4514,5,1,2004,1.3079266348981675,2,2,960615.4591780357
2976,1,3,2020,2.0105844866596203,0,5,653874.7152150288
3479,1,1,1987,1.5133843770136108,1,3,710556.2037705311
3885,2,3,1983,3.251014709974911,1,9,838719.430503504
3988,1,2,1993,2.46177117695805,1,1,811578.0336699059
2886,3,1,1974,4.991092316692353,2,9,656325.0842587487
2319,2,3,1968,0.5899504952520062,1,8,479500.9991714688
2182,2,1,2011,2.0055100677398743,2,3,481828.06768855744
1577,3,3,1977,2.633989762237554,2,5,372323.37939096446
723,1,2,2003,2.4314767332811904,0,5,171649.64296508202
4871,4,3,1952,3.5586568416703197,1,10,1037717.9406894748
4031,5,3,1952,3.3846904322055242,1,1,859124.6997228705
1014,3,2,1997,1.2000442869899168,1,10,252045.34308125207
1775,1,2,1955,4.241154677998865,2,1,406069.2709127523
3873,2,3,2002,3.723002712552277,2,4,872668.0625544086
1019,2,1,2008,3.9307725763528834,1,4,288760.1876996651
2145,5,1,1974,1.703426326741432,2,4,475343.236310324
3220,2,2,1970,4.405066046382758,1,6,721408.4143674215
1769,2,3,1998,2.251989802144501,2,5,426649.3002661536
2225,3,2,1995,4.94189842046652,2,3,558820.2087017375
3930,5,3,2019,0.5056555792721503,2,7,856967.622281972
2565,1,3,1982,1.2380978508294347,1,1,524335.3141147307
1187,4,3,1960,2.3428451626708515,0,3,282829.9070993939
4712,1,2,1992,0.5019040785206856,0,2,939377.0391011431
1981,3,3,1981,4.6072493748108085,1,8,480069.30046220403
1322,1,2,2021,1.8692359257769513,2,6,332401.6345041585
4732,1,1,1966,4.879091247627187,0,10,967936.8472729308
4145,3,1,1993,3.2243529087841427,1,7,898283.8867356428
3800,1,3,1951,3.025642193575255,2,10,777370.5628344774
1384,3,2,1981,3.994093690144187,0,8,342145.74731728964
1394,2,1,1975,4.158796771650509,0,6,339946.9304833023
4350,4,3,2016,1.079426946541881,2,5,953204.2545498478
4474,3,2,1998,1.5040173134240007,1,5,935330.1516027403
1585,4,1,1982,1.8951170740922791,2,10,385239.00794514787
623,2,2,1973,3.9295443891848385,1,6,159550.20742740168
2312,3,3,1956,1.3073325840594756,1,6,479048.0020767007
3688,2,2,1955,0.8915304528978403,2,3,730736.027918859
3574,3,1,1962,1.5006040393636049,0,4,712965.5053967523
2494,3,1,1990,4.112830440479957,1,3,578870.7619594942
1776,5,2,1973,1.4102634539271919,0,2,378263.5073123387
3286,5,3,1958,1.4697534149039797,2,9,681361.2493428746
1462,2,2,2014,1.0734937500655537,0,7,336201.1368295527
1535,1,3,1968,3.9350283621497457,1,5,328318.5765587803
1848,2,2,1952,2.8403332750001766,0,8,381998.6086592969
2020,2,3,2014,1.5579370187183852,1,4,468232.6186082948
3395,3,3,1966,3.247351500981586,0,3,710916.5958802069
3446,5,1,1993,2.0091842819578623,0,6,734123.8544549496
1741,3,3,1994,0.9410694434455344,0,1,376559.87601226266
1654,3,2,1955,4.182204056718157,1,9,372270.22960650065
3353,1,2,1963,4.194550668430731,1,8,701431.9339271099
4079,2,1,1977,1.7647446702821832,1,10,829570.8303277552
4250,1,2,1958,0.626084830727647,0,8,813107.6325732733
1645,1,1,2002,2.1269362943931736,2,9,368670.1351204142
3811,2,2,1969,1.380414859487182,1,2,771159.6557154648
2560,4,2,2015,3.802574196508413,0,2,622100.1895022333
1630,1,2,2014,2.00228733531204,2,6,380307.53198537487
857,5,3,1984,1.6427199736566327,1,4,252024.0176812598
4991,5,1,1989,2.0741393690923746,0,9,1050583.5614236707
3932,3,2,1970,4.94975989125124,2,5,865263.3836358162
2328,4,3,1977,2.0867746987676186,1,3,519277.6031313616
3282,5,1,2022,1.0251766454111042,0,2,730811.2586493675
1469,5,1,1988,1.2506562811658446,1,2,333717.1361600008
3411,1,3,2014,0.8119774867449414,2,2,719969.4352945103
2104,2,1,2000,3.9524717892770607,0,5,485636.1095576563
4200,4,1,1973,1.3409632042274986,0,7,857143.3654898368
1512,3,3,2000,2.005599601007883,0,8,361792.0937877193
3839,4,1,1998,1.0100033845146763,1,2,808984.3097316265
4248,4,1,1952,2.764853490162328,2,2,885926.6592208666
762,3,3,1972,2.2717418293948777,0,10,188846.40107517035
1429,5,2,2016,1.9037249697057697,2,3,389802.1123815728
3723,2,3,1980,3.7654959366050407,2,4,829222.1756158108
